subset,protocol,method,n_folds,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,accuracy_mean,weighted_f1_mean,worst_group,worst_group_macro_f1,best_group,best_group_macro_f1
class_balanced,stratified,v61_knn,1,0.9508238749725516,0.0,0.9508737559250682,0.9506933744221879,0.9505995779542766,validation,0.9508238749725516,validation,0.9508238749725516
class_balanced,stratified,v62a_knn,1,0.9416441436211,0.0,0.9417667511627295,0.9414483821263482,0.9415143506411435,validation,0.9416441436211,validation,0.9416441436211
class_material_balanced,board_lobo,frequency_only_lr,6,0.9741039051011037,0.01330925904330368,0.9738160003373819,0.9736376886544401,0.9734817870373007,W02,0.9599918350683814,C01,1.0
class_material_balanced,board_lobo,frequency_plus_v62a_lr,6,0.9512929345885538,0.00466344256549881,0.9486858013952911,0.9539080930090319,0.9539867577044084,C03,0.945702420323211,W02,0.9580997357277594
class_material_balanced,board_lobo,v61_knn,6,0.8989180734912355,0.029769692714041604,0.8984795667263441,0.9095356686093696,0.9095843674894094,C01,0.8519897953614428,C03,0.9434994514977504
class_material_balanced,board_lobo,v62a_knn,6,0.9386352813853613,0.009534401476574628,0.9366421338078997,0.9423998500132155,0.9422651082525109,W01,0.9286826420976023,W02,0.9551667094605725
class_material_balanced,material_lomo,frequency_only_lr,2,0.9424233238212683,0.0015167940318929207,0.9435714285714285,0.9435714285714285,0.9424233238212683,carbon,0.9409065297893754,wood,0.9439401178531612
class_material_balanced,material_lomo,frequency_plus_v62a_lr,2,0.9479197509677004,0.0033940993576126455,0.9475,0.9475,0.9479197509677004,carbon,0.9445256516100878,wood,0.9513138503253131
class_material_balanced,material_lomo,v61_knn,2,0.8823864367160071,0.013218885377173195,0.8835714285714287,0.8835714285714286,0.8823864367160072,wood,0.8691675513388339,carbon,0.8956053220931803
class_material_balanced,material_lomo,v62a_knn,2,0.9372895057567843,0.0016196740770848539,0.9367857142857143,0.9367857142857143,0.9372895057567843,wood,0.9356698316796994,carbon,0.9389091798338691
class_material_balanced,stratified,frequency_only_lr,1,0.9760287213476941,0.0,0.9760067969413765,0.9768270944741533,0.9768251253703761,validation,0.9760287213476941,validation,0.9760287213476941
class_material_balanced,stratified,frequency_plus_v62a_lr,1,0.9547101346728644,0.0,0.9547263097415474,0.9554367201426025,0.9554857659715565,validation,0.9547101346728644,validation,0.9547101346728644
class_material_balanced,stratified,v61_knn,1,0.9291497789698188,0.0,0.929110342116234,0.93048128342246,0.9303797413480563,validation,0.9291497789698188,validation,0.9291497789698188
class_material_balanced,stratified,v62a_knn,1,0.9319377733600824,0.0,0.9320151349621077,0.9322638146167558,0.9323550851655173,validation,0.9319377733600824,validation,0.9319377733600824
class_material_freqmatched,board_lobo,frequency_only_lr,6,0.9894327046136927,0.01317047180642063,0.9893263646922184,0.9906616790372603,0.9905894932623974,W03,0.9638242894056848,C01,1.0
class_material_freqmatched,board_lobo,frequency_plus_v62a_lr,6,0.9465653790632854,0.013685250479084997,0.9451220917649822,0.9483316311902764,0.9488583602559261,W03,0.9228314375682796,W02,0.9620826634782309
class_material_freqmatched,board_lobo,v61_knn,6,0.8643332534282998,0.05307068133792969,0.8699164411071428,0.8806731469130643,0.8787894769675452,C01,0.7911644403569018,C03,0.9391726026981944
class_material_freqmatched,board_lobo,v62a_knn,6,0.948257036360897,0.012600597173563903,0.947792815730207,0.950500858379541,0.9508304258114971,W03,0.931010404422968,C02,0.9708996545511643
class_material_freqmatched,material_lomo,frequency_only_lr,2,0.9914893617021276,0.008510638297872297,0.9918367346938776,0.9912087912087912,0.9912087912087912,wood,0.9829787234042554,carbon,1.0
class_material_freqmatched,material_lomo,frequency_plus_v62a_lr,2,0.9339246819869291,0.014958926169306996,0.9334260785490857,0.9335342077277561,0.9333219404596602,wood,0.9189657558176222,carbon,0.9488836081562362
class_material_freqmatched,material_lomo,v61_knn,2,0.8180983575654828,0.041389743298077875,0.8220873845583645,0.8256410256410256,0.818578248387235,wood,0.7767086142674049,carbon,0.8594881008635606
class_material_freqmatched,material_lomo,v62a_knn,2,0.9472735986913257,0.012316434904654004,0.9464575983978161,0.9466028595060854,0.9469940020960589,wood,0.9349571637866717,carbon,0.9595900335959797
class_material_freqmatched,stratified,frequency_only_lr,1,0.9945134383688601,0.0,0.9952380952380953,0.9949494949494949,0.9949579202591251,validation,0.9945134383688601,validation,0.9945134383688601
class_material_freqmatched,stratified,frequency_plus_v62a_lr,1,0.9571667564559856,0.0,0.9533959899749374,0.9595959595959596,0.9593025486956597,validation,0.9571667564559856,validation,0.9571667564559856
class_material_freqmatched,stratified,v61_knn,1,0.9308795007481585,0.0,0.931639063875906,0.9343434343434344,0.9337826485114542,validation,0.9308795007481585,validation,0.9308795007481585
class_material_freqmatched,stratified,v62a_knn,1,0.9420210603446891,0.0,0.9413126566416039,0.9494949494949495,0.9483071193018544,validation,0.9420210603446891,validation,0.9420210603446891
