accuracy,balanced_accuracy,macro_f1,weighted_f1,subset,protocol,method,heldout_group,n_train,n_test
0.9682835820895522,0.974436090225564,0.973417624872112,0.9682259484564442,class_material_balanced,board_lobo,frequency_only_lr,C02,2264,536
0.9769820971867008,0.9802197802197803,0.9803646064917741,0.976914547983247,class_material_balanced,board_lobo,frequency_only_lr,C03,2409,391
0.9619565217391305,0.9671875,0.9642553191489363,0.9619565217391305,class_material_balanced,board_lobo,frequency_only_lr,W01,2248,552
0.9565217391304348,0.9631578947368421,0.9599918350683814,0.9564596146507273,class_material_balanced,board_lobo,frequency_only_lr,W02,2317,483
0.9780821917808219,0.9578947368421054,0.9665940450254176,0.9773340893942559,class_material_balanced,board_lobo,frequency_only_lr,W03,2435,365
0.9661733615221987,0.9525343167701863,0.9564100393334265,0.9656171028195853,class_material_balanced,board_lobo,frequency_plus_v62a_lr,C01,2327,473
0.9440298507462687,0.9400465274252884,0.9462015114878287,0.9443965165919972,class_material_balanced,board_lobo,frequency_plus_v62a_lr,C02,2264,536
0.9437340153452686,0.9512124673414994,0.945702420323211,0.9449103828666798,class_material_balanced,board_lobo,frequency_plus_v62a_lr,C03,2409,391
0.9492753623188406,0.9491309778285941,0.9505690066311405,0.9494983451368739,class_material_balanced,board_lobo,frequency_plus_v62a_lr,W01,2248,552
0.9585921325051759,0.9560360419043328,0.9580997357277594,0.9585687041436778,class_material_balanced,board_lobo,frequency_plus_v62a_lr,W02,2317,483
0.9616438356164384,0.9431544771018455,0.9507748940279568,0.9609294946676362,class_material_balanced,board_lobo,frequency_plus_v62a_lr,W03,2435,365
0.8942917547568711,0.8630300724637682,0.8519897953614428,0.8955471851667165,class_material_balanced,board_lobo,v61_knn,C01,2327,473
0.9328358208955224,0.928262695653906,0.9272055938484037,0.9326362626727174,class_material_balanced,board_lobo,v61_knn,C02,2264,536
0.9437340153452686,0.9435970481131772,0.9434994514977504,0.9432827109682348,class_material_balanced,board_lobo,v61_knn,C03,2409,391
0.8913043478260869,0.8911705320348873,0.8950396418208484,0.8930254359373121,class_material_balanced,board_lobo,v61_knn,W01,2248,552
0.8881987577639752,0.8956004499809866,0.8937627323637176,0.88796612432264,class_material_balanced,board_lobo,v61_knn,W02,2317,483
0.9068493150684932,0.869216602111339,0.8820112260552504,0.9050484858688357,class_material_balanced,board_lobo,v61_knn,W03,2435,365
0.9408033826638478,0.9257307280883367,0.9309935607530113,0.9400071820676194,class_material_balanced,board_lobo,v62a_knn,C01,2327,473
