protocol,condition,display_name,method,macro_f1,mean_macro_f1,accuracy,macro_recall,worst_group,worst_group_macro_f1,best_group,best_group_macro_f1,n_groups
material_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,balanced_logistic_regression,,0.9402706029527824,0.9746669520415959,0.9454322059652762,wood,0.9312595914006636,carbon,0.9492816145049012,2
material_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,random_forest,,0.9450017247513617,0.9757942905654546,0.9242067984304929,wood,0.9445749221125169,carbon,0.9454285273902064,2
material_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,balanced_logistic_regression,,0.2544191480306869,0.6834086027634761,0.2823534753755947,carbon,0.23668563042104723,wood,0.2721526656403265,2
material_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,random_forest,,0.18449083903647479,0.7772496310023292,0.20461996451364495,wood,0.17513498818618473,carbon,0.19384668988676484,2
material_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,balanced_logistic_regression,,0.38349269265029023,0.7850519823340012,0.42157644076667317,carbon,0.3733124628200365,wood,0.393672922480544,2
material_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,random_forest,,0.30368352788931763,0.8034989260796477,0.2854561959124896,wood,0.24218456819867132,carbon,0.36518248757996397,2
material_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,balanced_logistic_regression,,0.23015469928263663,0.5273670015997965,0.2926520283201365,carbon,0.16826248628727253,wood,0.2920469122780007,2
material_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,random_forest,,0.23708601442737104,0.7867998798748413,0.24481188457282943,wood,0.18575991849811518,carbon,0.2884121103566269,2
material_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,balanced_logistic_regression,,0.2903052932569818,0.6249996922778716,0.36852795313639597,carbon,0.24956617329793582,wood,0.3310444132160278,2
material_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,random_forest,,0.39313875102273405,0.8273095561523572,0.3740168359419216,wood,0.2967954746728057,carbon,0.4894820273726624,2
