protocol,condition,display_name,condition_type,method,n_train,class_id,label_name,support,precision,recall,f1,held_out_group,n_test,stress_test_note
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,10355,2,1_2,147,0.9655172413793104,0.19047619047619047,0.3181818181818182,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,10355,3,2_1,154,0.96,0.3116883116883117,0.47058823529411764,,,
stratified_train_val,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,10355,4,higher,2023,0.8509473684210527,0.9990113692535838,0.9190541155070487,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,0,1_1H,131,0.9923664122137404,0.9923664122137404,0.9923664122137404,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,1,1_1T,134,0.9777777777777777,0.9850746268656716,0.9814126394052044,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,2,1_2,147,0.8888888888888888,0.9251700680272109,0.9066666666666665,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,3,2_1,154,0.9072847682119205,0.8896103896103896,0.898360655737705,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,4,higher,2023,0.9995047052996533,0.9975284231339595,0.9985155863433944,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,0,1_1H,131,1.0,0.9083969465648855,0.9520000000000001,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,1,1_1T,134,0.9901960784313726,0.753731343283582,0.8559322033898303,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,2,1_2,147,0.9625,0.5238095238095238,0.6784140969162995,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,3,2_1,154,0.9512195121951219,0.5064935064935064,0.6610169491525423,,,
stratified_train_val,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,4,higher,2023,0.9170444242973708,1.0,0.9567273587136439,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,0,1_1H,131,0.8333333333333334,0.8778625954198473,0.8550185873605949,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,1,1_1T,134,0.8450704225352113,0.8955223880597015,0.8695652173913043,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,2,1_2,147,0.6031746031746031,0.7755102040816326,0.6785714285714285,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,3,2_1,154,0.65,0.7597402597402597,0.7005988023952096,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,10355,4,higher,2023,0.979381443298969,0.9391992090954029,0.9588695432752966,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,10355,0,1_1H,131,0.9339622641509434,0.7557251908396947,0.8354430379746834,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,10355,1,1_1T,134,0.967032967032967,0.6567164179104478,0.7822222222222223,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,10355,2,1_2,147,0.9791666666666666,0.3197278911564626,0.482051282051282,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,10355,3,2_1,154,0.9298245614035088,0.34415584415584416,0.5023696682464456,,,
stratified_train_val,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,10355,4,higher,2023,0.8836904241364233,0.9990113692535838,0.9378190255220418,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,0,1_1H,131,0.9618320610687023,0.9618320610687023,0.9618320610687023,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,1,1_1T,134,0.927007299270073,0.9477611940298507,0.9372693726937269,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,2,1_2,147,0.7784810126582279,0.8367346938775511,0.8065573770491804,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,3,2_1,154,0.8211920529801324,0.8051948051948052,0.8131147540983606,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,10355,4,higher,2023,0.9980119284294234,0.9925852694018784,0.9952912019826518,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,0,1_1H,131,0.992,0.9465648854961832,0.96875,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,1,1_1T,134,0.9916666666666667,0.8880597014925373,0.937007874015748,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,2,1_2,147,0.98989898989899,0.6666666666666666,0.7967479674796748,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,3,2_1,154,0.9560439560439561,0.564935064935065,0.7102040816326531,,,
stratified_train_val,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,10355,4,higher,2023,0.9391829155060353,1.0,0.9686377783097918,,,
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10211,0,1_1H,129,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10211,1,1_1T,170,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10211,2,1_2,57,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10211,3,2_1,77,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10211,4,higher,2300,1.0,1.0,1.0,C01,2733,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10625,0,1_1H,134,1.0,1.0,1.0,C02,2319,none
board_grouped,frequency_only,Frequency only,metadata_only,balanced_logistic_regression,10625,1,1_1T,112,1.0,1.0,1.0,C02,2319,none
