protocol,condition,display_name,condition_type,method,held_out_group,n_train,n_test,stress_test_note,accuracy,macro_recall,macro_f1
board_grouped,v6_2_a_frequency_fusion,Frequency + v6.2-A embedding,frequency_embedding_fusion,random_forest,W03,11478,1466,none,0.9761255115961801,0.9337708340910817,0.9457039651918748
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,C01,10211,2733,none,0.8309549945115258,0.41031267725013476,0.41340233538526217
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,C02,10625,2319,none,0.7723156532988357,0.32229511031950386,0.3252259294417491
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,C03,11307,1637,none,0.6273671350030544,0.3698473672902475,0.3104071202182591
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,W01,10525,2419,none,0.7044233154195949,0.3515491033724049,0.2807026019369698
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,W02,10574,2370,none,0.8177215189873418,0.41719353476932647,0.3676620218746874
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,balanced_logistic_regression,W03,11478,1466,none,0.31036834924965895,0.3765006695304768,0.23281724837195306
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,C01,10211,2733,none,0.8466886205634834,0.2164705882352941,0.21361024635636036
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,C02,10625,2319,none,0.7326433807675722,0.2400249406889096,0.21857391799177858
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,C03,11307,1637,none,0.7562614538790471,0.2,0.17224347826086955
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,W01,10525,2419,none,0.7581645307978504,0.2,0.17257115972712303
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,W02,10574,2370,none,0.7902953586497891,0.20270270270270271,0.1818669314796425
board_grouped,random_resnet18_embedding_only,Random ResNet-18 embedding only,embedding_only,random_forest,W03,11478,1466,none,0.747612551159618,0.2,0.17111631537861044
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,C01,10211,2733,none,0.9473106476399561,0.74077087044512,0.7237956566119431
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,C02,10625,2319,none,0.8503665373005606,0.5035112874113705,0.49290989865516704
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,C03,11307,1637,none,0.8423946243127672,0.578626463782245,0.563767960380463
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,W01,10525,2419,none,0.8350558081852005,0.4926232387538816,0.4563741984535475
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,W02,10574,2370,none,0.8915611814345992,0.6480248367595083,0.5815010634819866
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,W03,11478,1466,none,0.616643929058663,0.46262175739546424,0.3767301843357092
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,C01,10211,2733,none,0.9096231247713136,0.46070223438212493,0.4952118526828757
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,C02,10625,2319,none,0.8076757222940922,0.35196014895342204,0.3699578891214911
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,C03,11307,1637,none,0.7849725106902871,0.2872235872235872,0.3010789538129289
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,W01,10525,2419,none,0.7767672591980157,0.27773122784402193,0.28803830446415996
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,W02,10574,2370,none,0.7949367088607595,0.23056685003587657,0.23159684595392274
board_grouped,random_resnet18_frequency_fusion,Frequency + Random ResNet-18 embedding,frequency_embedding_fusion,random_forest,W03,11478,1466,none,0.7639836289222374,0.25094850948509484,0.25812822058868756
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,C01,10211,2733,none,0.5675082327113062,0.3389351802859208,0.28115926372148936
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,C02,10625,2319,none,0.6218197498921949,0.43640996430212536,0.3735450796268472
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,C03,11307,1637,none,0.7556505803298718,0.43458856995436734,0.4047304373966888
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,W01,10525,2419,none,0.7560975609756098,0.5105998883458446,0.46568154148210644
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,W02,10574,2370,none,0.7248945147679325,0.3370193948158502,0.3441807846118231
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,balanced_logistic_regression,W03,11478,1466,none,0.6875852660300137,0.44171862427359854,0.4069820388689756
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,C01,10211,2733,none,0.8551042810098792,0.24951208390332877,0.26376762330077846
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,C02,10625,2319,none,0.7645536869340233,0.35983855371032164,0.2866306326990717
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,C03,11307,1637,none,0.7953573610262675,0.3189047881778092,0.32796964413906265
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,W01,10525,2419,none,0.7796610169491526,0.2951659684176603,0.3147229292545769
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,W02,10574,2370,none,0.789873417721519,0.2,0.17652050919377651
board_grouped,imagenet_resnet18_embedding_only,ImageNet ResNet-18 embedding only,embedding_only,random_forest,W03,11478,1466,none,0.7646657571623465,0.26249587944431363,0.27547370679633276
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,C01,10211,2733,none,0.7731430662275888,0.4718931055056359,0.42713127201725376
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,C02,10625,2319,none,0.8094006037084951,0.6298574865096549,0.5870908760877936
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,C03,11307,1637,none,0.8442272449602932,0.5552852446505805,0.5471536103925297
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,W01,10525,2419,none,0.8272013228606863,0.6129065807257001,0.5438420996558987
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,W02,10574,2370,none,0.8396624472573839,0.47407741562707095,0.4904699296337025
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,balanced_logistic_regression,W03,11478,1466,none,0.8274215552523875,0.5482070182810375,0.5545989597859483
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,C01,10211,2733,none,0.9037687522868643,0.43440036479708166,0.46116453185287315
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,C02,10625,2319,none,0.8257869771453212,0.4130597014925373,0.41117653443540714
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,C03,11307,1637,none,0.8197923029932804,0.39174447174447175,0.3854961930465163
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,W01,10525,2419,none,0.8230673832162051,0.4811311633902674,0.504229037087876
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,W02,10574,2370,none,0.8042194092827004,0.2797656063142789,0.3076376619622567
board_grouped,imagenet_resnet18_frequency_fusion,Frequency + ImageNet ResNet-18 embedding,frequency_embedding_fusion,random_forest,W03,11478,1466,none,0.8342428376534788,0.4789964157706093,0.49945816998551207
