protocol,method,held_out_group,stress_test_note,class_id,label_name,support,precision,recall,f1
board_grouped,frequency_bin_majority_diagnostic,W02,none,1,1_1T,113,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W02,none,2,1_2,142,1.0,0.9154929577464789,0.9558823529411764
board_grouped,frequency_bin_majority_diagnostic,W02,none,3,2_1,169,0.9172413793103448,0.7869822485207101,0.8471337579617834
board_grouped,frequency_bin_majority_diagnostic,W02,none,4,higher,1872,0.9811320754716981,1.0,0.9904761904761905
board_grouped,frequency_logistic_regression,W03,none,0,1_1H,90,1.0,1.0,1.0
board_grouped,frequency_logistic_regression,W03,none,1,1_1T,93,1.0,1.0,1.0
board_grouped,frequency_logistic_regression,W03,none,2,1_2,123,0.8913043478260869,1.0,0.9425287356321839
board_grouped,frequency_logistic_regression,W03,none,3,2_1,64,1.0,0.765625,0.8672566371681416
board_grouped,frequency_logistic_regression,W03,none,4,higher,1096,1.0,1.0,1.0
board_grouped,frequency_random_forest,W03,none,0,1_1H,90,1.0,1.0,1.0
board_grouped,frequency_random_forest,W03,none,1,1_1T,93,1.0,1.0,1.0
board_grouped,frequency_random_forest,W03,none,2,1_2,123,1.0,1.0,1.0
board_grouped,frequency_random_forest,W03,none,3,2_1,64,1.0,1.0,1.0
board_grouped,frequency_random_forest,W03,none,4,higher,1096,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W03,none,0,1_1H,90,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W03,none,1,1_1T,93,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W03,none,2,1_2,123,1.0,1.0,1.0
board_grouped,frequency_bin_majority_diagnostic,W03,none,3,2_1,64,1.0,0.828125,0.905982905982906
board_grouped,frequency_bin_majority_diagnostic,W03,none,4,higher,1096,0.990063233965673,1.0,0.9950068088969587
material_grouped,frequency_logistic_regression,carbon,descriptive stress-test only; two material groups available,0,1_1H,373,1.0,1.0,1.0
material_grouped,frequency_logistic_regression,carbon,descriptive stress-test only; two material groups available,1,1_1T,356,1.0,1.0,1.0
material_grouped,frequency_logistic_regression,carbon,descriptive stress-test only; two material groups available,2,1_2,296,1.0,0.7094594594594594,0.8300395256916996
material_grouped,frequency_logistic_regression,carbon,descriptive stress-test only; two material groups available,3,2_1,351,0.8032036613272311,1.0,0.8908629441624365
material_grouped,frequency_logistic_regression,carbon,descriptive stress-test only; two material groups available,4,higher,5313,1.0,1.0,1.0
material_grouped,frequency_random_forest,carbon,descriptive stress-test only; two material groups available,0,1_1H,373,1.0,1.0,1.0
material_grouped,frequency_random_forest,carbon,descriptive stress-test only; two material groups available,1,1_1T,356,1.0,1.0,1.0
material_grouped,frequency_random_forest,carbon,descriptive stress-test only; two material groups available,2,1_2,296,1.0,0.7094594594594594,0.8300395256916996
material_grouped,frequency_random_forest,carbon,descriptive stress-test only; two material groups available,3,2_1,351,0.8032036613272311,1.0,0.8908629441624365
material_grouped,frequency_random_forest,carbon,descriptive stress-test only; two material groups available,4,higher,5313,1.0,1.0,1.0
material_grouped,frequency_bin_majority_diagnostic,carbon,descriptive stress-test only; two material groups available,0,1_1H,373,1.0,1.0,1.0
material_grouped,frequency_bin_majority_diagnostic,carbon,descriptive stress-test only; two material groups available,1,1_1T,356,1.0,1.0,1.0
material_grouped,frequency_bin_majority_diagnostic,carbon,descriptive stress-test only; two material groups available,2,1_2,296,1.0,0.3141891891891892,0.4781491002570694
material_grouped,frequency_bin_majority_diagnostic,carbon,descriptive stress-test only; two material groups available,3,2_1,351,0.574468085106383,1.0,0.7297297297297298
material_grouped,frequency_bin_majority_diagnostic,carbon,descriptive stress-test only; two material groups available,4,higher,5313,1.0,0.9892715979672502,0.9946068691456146
material_grouped,frequency_logistic_regression,wood,descriptive stress-test only; two material groups available,0,1_1H,280,1.0,1.0,1.0
material_grouped,frequency_logistic_regression,wood,descriptive stress-test only; two material groups available,1,1_1T,313,1.0,1.0,1.0
material_grouped,frequency_logistic_regression,wood,descriptive stress-test only; two material groups available,2,1_2,442,0.7727272727272727,1.0,0.8717948717948718
material_grouped,frequency_logistic_regression,wood,descriptive stress-test only; two material groups available,3,2_1,418,1.0,0.6889952153110048,0.8158640226628896
material_grouped,frequency_logistic_regression,wood,descriptive stress-test only; two material groups available,4,higher,4802,1.0,1.0,1.0
material_grouped,frequency_random_forest,wood,descriptive stress-test only; two material groups available,0,1_1H,280,1.0,1.0,1.0
material_grouped,frequency_random_forest,wood,descriptive stress-test only; two material groups available,1,1_1T,313,1.0,1.0,1.0
material_grouped,frequency_random_forest,wood,descriptive stress-test only; two material groups available,2,1_2,442,0.7727272727272727,1.0,0.8717948717948718
material_grouped,frequency_random_forest,wood,descriptive stress-test only; two material groups available,3,2_1,418,1.0,0.6889952153110048,0.8158640226628896
material_grouped,frequency_random_forest,wood,descriptive stress-test only; two material groups available,4,higher,4802,1.0,1.0,1.0
material_grouped,frequency_bin_majority_diagnostic,wood,descriptive stress-test only; two material groups available,0,1_1H,280,1.0,1.0,1.0
material_grouped,frequency_bin_majority_diagnostic,wood,descriptive stress-test only; two material groups available,1,1_1T,313,1.0,1.0,1.0
material_grouped,frequency_bin_majority_diagnostic,wood,descriptive stress-test only; two material groups available,2,1_2,442,0.8649706457925636,1.0,0.9275970619097587
material_grouped,frequency_bin_majority_diagnostic,wood,descriptive stress-test only; two material groups available,3,2_1,418,1.0,0.8349282296650717,0.910039113428944
material_grouped,frequency_bin_majority_diagnostic,wood,descriptive stress-test only; two material groups available,4,higher,4802,1.0,1.0,1.0
